source,relation,target,locus,provenance,note
deprivation,interprets-experiment-finding,boring-stimulus-as-mode-not-deficit,(p.195 / GA pp.287 / pdf 109),faithful,"Poverty-as-deprivation (not quantitative 'less') underwrites reading the lab's boring condition as a mode of disclosure, not stimulus-deficit."
fcm-10,marginal-note,Heidegger-on-Uexkull-in-BT-and-FCM.md,(p.192 / GA pp.284 / pdf 108),faithful,"Cross-reference to companion asset tmp/heidegger-uexkull-bt-report/ on the Uexkull/Umwelt strand across BT and FCM; analysis here is from the FCM text directly."
§49,defines,Sichversetzen (transposing oneself),(p.201 / GA pp.294 / pdf 112),faithful,"Self-transposition = going-along-with another being while remaining oneself; not transference, substitution, nor an 'as-if'."
Sichversetzen (transposing oneself),contests,empathy (Einfuehlung),(p.203 / GA pp.298 / pdf 113),faithful,"'Empathy' presupposes our being 'outside'; a guiding thread for fundamentally mistaken theories, now retired."
§49,grounds-question,specific manner of being,(p.202 / GA pp.296 / pdf 113),faithful,"The methodological self-transposition question is at bottom substantive: it asks what permits/resists/forbids transposition."
§50,defines,poverty in world (deprivation),(p.211 / GA pp.307 / pdf 117),faithful,"'Only where there is a having do we find a not-having'; deprivation = not-having yet being able-to-have."
poverty in world (deprivation),qualifies,having and yet not having world,(p.211 / GA pp.309 / pdf 117),faithful,"The animal IS a sphere of transposability yet refuses any going-along-with; grasped only once we know what world is."
§51,contests,a complex of instruments,(p.215 / GA pp.315 / pdf 119),faithful,"Roux's definition of the organism as a complex of instruments 'must certainly collapse altogether'."
Wilhelm Roux,cites,a complex of instruments,(p.212 / GA pp.310 / pdf 118),faithful,"Roux defined the organism as a complex of instruments / a complicated instrument (Entwickelungsmechanik); footnote bibliography."
organon / ergon (Werk),glosses-greek,organ vs instrument,(p.212 / GA pp.310 / pdf 118),faithful,"'organ' from Greek organon ('instrument'); Greek ergon = German Werk; the organ is a Werkzeug — which Heidegger then contests."
§51,contests,von Uexkuell machine-as-imperfect-organism,(p.215 / GA pp.315 / pdf 119),faithful,"Against von Uexkuell ('most perceptive of contemporary biologists') describing the machine as an 'imperfect organism'."
§52,defines,capacity / capability (Faehigkeit),(p.219 / GA pp.320 / pdf 121),faithful,"'Possessing eyes and being able to see are not the same'; the potentiality for seeing first makes eyes possible."
capacity / capability (Faehigkeit),contests,readiness (Fertigkeit),(p.221 / GA pp.322 / pdf 122),faithful,"The pen is ready for writing but not capable of writing; readiness ≠ capacity, a fundamentally different manner of being."
capacity / capability (Faehigkeit),discloses,the capacity creates its organs,(p.221 / GA pp.323 / pdf 122),faithful,"Not the organ that has a capacity but the organism; the capability procures organs for itself — organs grow from / end with it."
§53,defines,subservience (Diensthaftigkeit),(p.226 / GA pp.330 / pdf 124),faithful,"The organ subserves the capacity that develops it; 'serviceability and subservience are not the same'."
subservience (Diensthaftigkeit),contests,serviceability (Dienlichkeit),(p.226 / GA pp.330 / pdf 124),faithful,"Finished equipment is serviceable-for and lies outside its act ('the being of the hammer is not an urge toward hammering')."
temporary organs (amoeba),temporalizes-as,organ vs instrument,(p.224 / GA pp.328 / pdf 124),faithful,"Mouth-then-intestine sequence proves capacities prior to organs; organ and equipment relate to time in fundamentally different ways."
Jakob von Uexkuell,cites,temporary organs (amoeba),(p.224 / GA pp.327 / pdf 124),faithful,"Theoretische Biologie (1928), p.98: 'an aperture which first becomes a mouth, then a stomach...' (footnote)."
§54,defines,self-driving instinctual drive (Trieb),(p.228 / GA pp.332 / pdf 126),faithful,"The capable is intrinsically regulative, drives itself toward its wherefore; capacity only where there is drive."
self-driving instinctual drive (Trieb),qualifies,mechanistic conception of vital movement,(p.229 / GA pp.334 / pdf 126),faithful,"Drives permeate the whole movement in advance, so never merely mechanical; no mathematical expression possible."
§55,interprets-experiment-finding,glow-worm retinal image,(p.231 / GA pp.337 / pdf 127),faithful,"Photographed retinal image (window, letter R, church tower) cannot tell us what the glow-worm sees: achievement ≠ capacity."
§56,defines,proper peculiarity (Eigentum),(p.233 / GA pp.339 / pdf 128),faithful,"Capacity becomes proper to itself without self-consciousness/reflection; 'self' reserved for the human, animal's mode = Eigentum."
Edmund Husserl,grounds-question,proper peculiarity (Eigentum),(p.232 / GA pp.338 / pdf 127),faithful,"Pre-argumentative seeing 'radicalized through Husserl' — phenomenology's decisive trait — is the method for grasping proper being."
§56,marginal-note,Eigentum / eigentlich,(p.233 / GA pp.339 / pdf 128),faithful,"Translator footnote: Eigentum = 'property/ownness' rendered 'proper being'; eigentlich = Being and Time's 'authentic'."
§57,defines,holistic character of the organism,(p.235 / GA pp.342 / pdf 129),faithful,"Organism is neither complex of instruments, union of organs, nor bundle of capacities: a manner of being = proper peculiarity creating organs."
holistic character of the organism,discloses,being organized means being capable,(p.235 / GA pp.342 / pdf 129),faithful,"'The animal is organized' = it is rendered capable (befaehigt); being-capable belongs to the animal's being-actual."
holistic character of the organism,bridges-to-pipeline,captivation (structural background),(p.235 / GA pp.342-43 / pdf 129),faithful,"The self-driven world-poor organism is the structural background to captivation, the contrast term for boredom-disclosed Dasein."
glow-worm retinal image,bridges-to-pipeline,single-proxy caution,(p.231 / GA pp.337 / pdf 127),faithful,"Organ-achievement does not yield the capacity — models the pipeline's refusal to read an attunement off any one physiological proxy."
§58,defines,captivation,(p.238 / GA pp.346 / pdf 131),faithful,"Benommenheit named as the essential structure of animality; 'the animal can only behave insofar as it is essentially captivated'."
§58,glosses-german,behaviour,(p.237 / GA pp.345 / pdf 130),faithful,"Benehmen/Sichbenehmen = the animal's manner of being, a driven performing (Treiben); set against human comportment (Verhalten) as action."
behaviour,contests,comportment,(p.237 / GA pp.345 / pdf 130),faithful,"Behaviour and comportment are 'fundamentally different from one another'; the animal behaves, it does not comport itself toward."
captivation,grounds-question,behaviour,(p.239 / GA pp.347 / pdf 131),faithful,"Captivation is 'the inner possibility of behaviour as such', not a state accompanying it."
§59,instances-in-text,captivation,(p.242 / GA pp.353 / pdf 133),faithful,"Bee with severed abdomen carries on sucking — proves no recognition of presence; the bee is 'taken [hingenommen] by its food'."
§59,interprets-experiment-finding,being taken,(p.243 / GA pp.354 / pdf 133),faithful,"Driven being-taken excludes recognition of presence and prevents 'taking up a position over and against' the food (Bethe/Rádl sun-orientation experiments)."
captivation,defines,apprehending,(p.247 / GA pp.360 / pdf 135),faithful,"Captivation = having every apprehending [Vernehmen] of something as something withheld [genommen]; 'no apprehending, but only a behaving [Benehmen]'."
captivation,discloses,the animal does not stand within a manifestness of beings,(p.248 / GA pp.361 / pdf 136),faithful,"Beings are neither disclosed to nor closed off from the animal; captivation 'stands outside this possibility'."
behaviour,deepens-into,eliminative character,(p.250 / GA pp.363-65 / pdf 137),faithful,"Behaviour shows an eliminative character (Beseitigen) — devouring or avoidance; the other is there only as prey/partner, in a form of 'away' (weg)."
§60,defines,disinhibiting ring,(p.253 / GA pp.369-70 / pdf 139),faithful,"The animal surrounds itself with an Enthemmungsring that prescribes what can occasion its behaviour; 'nothing else can ever penetrate the ring'."
disinhibiting ring,extends,captivation,(p.255 / GA pp.370 / pdf 139),faithful,"Self-encirclement (Sich-Einringen) open to disinhibition is not encapsulation but the very structure of captivated behaviour; borne along as long as the animal lives."
disinhibition,qualifies,irritability / ability to be stimulated,(p.255 / GA pp.372 / pdf 140),faithful,"Heidegger inverts the order: stimulation is possible only where there is prior disinhibition and intrinsic encirclement (against Johannes Müller's Reizbarkeit)."
captivation,defines,the organism,(p.258 / GA pp.376 / pdf 141),faithful,"'The organism is the capability for behaviour in the unity of captivation'; 'Captivation is the fundamental essence of the organism'."
the organism,contests,Buytendijk,(p.258 / GA pp.376 / pdf 141),faithful,"Against Buytendijk's 'almost as intimate as the unity of the body itself': the body's unity is grounded in the unity of captivation."
§61,cites,Hans Driesch,(p.261 / GA pp.380-82 / pdf 143),faithful,"First decisive biological step: sea-urchin embryology establishes wholeness (Ganzheit)."
§61,contests,neovitalism / entelechy,(p.262 / GA pp.382 / pdf 143),faithful,"Driesch's neovitalism (appeal to a force/entelechy) repudiated; 'vitalism is just as dangerous as mechanism'."
§61,cites,Jakob Johann von Uexküll,(p.261 / GA pp.380 / pdf 143),faithful,"Second decisive biological step: research on how the animal is bound to its environment (Umwelt)."
environing world / environment,glosses-german,disinhibiting ring,(p.263 / GA pp.383 / pdf 144),faithful,"Uexküll's Umwelt 'means nothing other than what we have characterized as the disinhibiting ring'; the engagement is fruitful but the human world must not be spoken of the same way."
captivation,temporalizes-as,motility,(p.265 / GA pp.385-86 / pdf 145),faithful,"'Captivation is at the same time motility' (Bewegtheit) — an intrinsically determinate motility that unfolds or atrophies; interpretation incomplete without the life-process and death."
captivation,grounds-question,poverty in world,(p.272 / GA pp.396 / pdf 148),faithful,"Removal of the self-objection: captivation is the condition of the possibility of poverty in world — and of a 'merely comparative' definition from the human standpoint, not the reverse."
poverty in world,concedes,world-forming,(p.270 / GA pp.393 / pdf 147),faithful,"Self-objection (§63): 'deprivation' presupposes some knowledge of world; poverty-in-world is conceived only by comparison with man's world-formation, so the thesis 'goes too far'."
poverty in world,instances-in-text,profound boredom,(p.273 / GA pp.396 / pdf 148),faithful,"The not-having of world was developed under the guidance of the fundamental attunement of profound boredom, 'that as a whole which profound boredom itself manifests to us'."
§63,marginal-note,Heidegger-on-Uexkull-in-BT-and-FCM.md,(p.263 / GA pp.383 / pdf 144),faithful,"Cross-reference: companion asset tmp/heidegger-uexkull-bt-report/Heidegger-on-Uexkull-in-BT-and-FCM.md documents the BT-side genealogy (von Baer, privative method, zero BT Uexküll citations) that this FCM Umwelt=disinhibiting-ring engagement completes."
§64,defines,the 'as' / something as something,(p.274 / GA pp.397 / pdf 149),faithful,"'Beings as such, something as something' belongs to world and is fundamentally closed to the animal."
§64,defines,Verhalten / comportment,(p.274 / GA pp.397 / pdf 149),faithful,"Comportment = the relation governed by letting-be (hence not-letting-be), vs the captivated behaviour of the animal; grounds stance and selfhood."
the 'as' / something as something,discloses,manifestness of beings as such as a whole,(p.274 / GA pp.397 / pdf 149),faithful,"Only where beings are manifest as beings is there the 'as'; the 'as' is the structural moment of manifestness."
§65,instances-in-text,manifestness of beings as such as a whole,(p.275 / GA pp.398 / pdf 150),faithful,"Everyday undifferentiated manifestness ('tram, people, dog, stars all in the same way') is the levelled-out mode in which beings are manifest; the slumbering of Dasein's fundamental relationships."
profound boredom,deepens-into,manifestness of beings as such as a whole,(p.281 / GA pp.408 / pdf 152),faithful,"§67: the world-question is developed in the direction disclosed by the interpretation of profound boredom; attunement makes beings as a whole manifest and Dasein manifest to itself."
§68,defines,manifestness of beings as such as a whole,(p.282 / GA pp.410 / pdf 153),faithful,"World is NOT totality/accessibility/underlying-manifestness but the manifestness of beings as such as a whole; world-formation in a threefold sense."
manifestness of beings as such as a whole,grounds-question,Was ist Welt?,(p.280 / GA pp.405 / pdf 152),faithful,"Accessibility is grounded in possible manifestness; whether man is world-forming becomes the decisive question."
the 'as' / something as something,bridges-to-pipeline,logos apophantikos,(p.287 / GA pp.415 / pdf 155),faithful,"§69: the 'as' is first a relation belonging to the propositional statement, so the world-problem is led back to logic — to be undone by returning to the originary 'as'."
formal indication / formale Anzeige,qualifies,manifestness of beings as such as a whole,(p.297 / GA pp.430 / pdf 160),faithful,"§70: all philosophical concepts are formally indicative; 'world' must not be taken as present-at-hand or in isolation but as a pointer to a transformation into Dasein."
Augenblick / moment of vision,instances-in-text,formal indication / formale Anzeige,(p.295 / GA pp.427 / pdf 159),faithful,"§70 death-example: resolute disclosedness 'possesses me' and is only ever the moment of vision — misread as a present-at-hand state by ordinary understanding."
Aristotle,defines,logos apophantikos,(p.310 / GA pp.448 / pdf 167),faithful,"De Interpretatione: only the logos apophantikos can be true or false (aletheuein/pseudesthai 'lies in it as underlying it'); requesting (euche) is non-apophantic, belonging to rhetoric/poetics."
Aristotle,glosses-greek,symbolon / kata syntheken,(p.309 / GA pp.447 / pdf 166),faithful,"semainein = giving-to-be-understood; language is kata syntheken, grounded in the genesis of a symbolon (hinge/ring-halves) — read by Heidegger as transcendence: 'there is language only in a being that transcends'."
synthesis / diairesis,grounds-question,the 'as' / something as something,(p.317 / GA pp.458 / pdf 170),faithful,"De Anima III.6: synthesis noematon (unity-forming apprehension, nous) grounds revealing/concealing and is intrinsically diairesis; Heidegger reads it AS the 'as'-structure, which is the condition of the logos, not its property."
the copula / 'is',glosses-greek,synthesis / diairesis,(p.328 / GA pp.475 / pdf 176),faithful,"§72: the 'is' co-signifies (prossemainein) a synthesis and is not a real predicate (so too Kant); its undifferentiated manifold of what-/that-/being-true is the primary essence of the copula."
Kant,extends,the copula / 'is',(p.326 / GA pp.472 / pdf 175),faithful,"Centuries after Aristotle and consistently with him: being is not a real predicate but positing / respectus logicus (1763 essay; Critique of Pure Reason A592ff./B620ff.)."
Hobbes,extends,the copula / 'is',(p.329 / GA pp.477 / pdf 176),faithful,"De corpore: copulatio concentrates subject+predicate on one and the same thing (quid/quidditas), pointing the 'is' back toward the beings the assertion is about."
Lotze / Windelband / Rickert / Lask,contests,the copula / 'is',(p.330 / GA pp.480 / pdf 177),faithful,"Judgement-as-validity (in Rickert, route to value-philosophy) judged one-sided for missing the undifferentiated manifold of the 'is'."
pre-predicative manifestness,grounds-question,logos apophantikos,(p.341 / GA pp.494 / pdf 183),faithful,"§73: the assertion is neither originary nor independent — it only takes apart (legt auseinander) what is already manifest; propositional truth is NOT the fundamental form of truth."
Vermögen / being free for beings,grounds-question,pre-predicative manifestness,(p.340 / GA pp.493 / pdf 182),faithful,"The logos is an ability grounded in being free for beings as such; only where there is freedom is there the binding character and the either/or of truth and falsity."
holding oneself toward something binding,deepens-into,unveiling the being of beings,(p.350 / GA pp.508 / pdf 187),faithful,"Three moments of the originary dimension of the assertion: [1] holding-toward-the-binding, [2] completion (prior forming of the 'as a whole'), [3] unveiling the being of beings."
Vollzug / completion,defines,im Ganzen / 'as a whole',(p.347 / GA pp.504 / pdf 186),faithful,"'The board is badly positioned' speaks out of the lecture theatre as a whole; ordinary understanding 'cannot see the world for beings'."
ontological difference / Sein und Seiendes,grounds-question,manifestness of beings as such as a whole,(p.357 / GA pp.520 / pdf 190),faithful,"§75 nine points: the distinction between being and beings is not made by us but happens to us, 'stands at the commencement of Dasein itself' — the central moment from which the problem of world is comprehended."
Entwurf / projection,defines,Walten der Welt / the prevailing of world,(p.363 / GA pp.527 / pdf 194),faithful,"§76: 'Projection is world-projection. World prevails in and for a letting-prevail that has the character of projecting.'"
Entwurf / projection,deepens-into,holding oneself toward something binding,(p.364 / GA pp.528 / pdf 194),faithful,"Projection originarily unifies the three moments: lets the binding character spring forth, is intrinsically completing (forms an 'as a whole'), and is the irruption into the 'between' in which the 'as' springs forth."
Entwurf / projection,extends,synthesis / diairesis,(p.365 / GA pp.530 / pdf 195),faithful,"Projection is what Aristotle 'necessarily had recourse to': it takes apart (diairesis) in raising away yet turns back to bind together (synthesis), 'intrinsically unit[ing] contradictory things'."
Nietzsche,glosses-german,Walten der Welt / the prevailing of world,(p.366 / GA pp.531 / pdf 195),faithful,"Closing: enthousiasmos as 'the breath of all philosophizing', via Zarathustra's 'intoxicated song' ('The world is deep') 'in which we also experience what the world is'."
Schelling,glosses-german,Entwurf / projection,(p.366 / GA pp.531 / pdf 195),faithful,"Projection borrowed as 'the look into the light of a possible making-possible' (Lichtblick ins Mögliche-Ermöglichende), after the 1809 Freiheitsschrift."
profound boredom,bridges-to-pipeline,King-Salvo boredom stimulus,(p.354 / GA pp.512 / pdf 188),faithful,"§75 lists being-left-empty / held-in-limbo / fulfilled / sustained as ways the 'as a whole' (world) prevails through us — the warrant for treating the lab's boring stimulus as a modulation of manifestness, not a feeling-state."
pre-predicative manifestness,interprets-experiment-finding,EEG/gaze/phenomenological triangulation,(p.341 / GA pp.494 / pdf 183),faithful,"'The assertion only takes apart what is already manifest' demotes measurable report beneath a pre-predicative manifestness — the bridge's surface/depth split that motivates triangulation over self-report."
Entwurf / projection,interprets-experiment-finding,clinical-video surface/depth split,(p.363 / GA pp.527 / pdf 194),faithful,"Projection as the disclosive letting-prevail of world underwrites reading engaged-surface vs disclosed-depth: boredom widens or forecloses the manifestness within which engaged/disengaged behavior shows up."
Editor's Epilogue,cites,detailed analysis of boredom,(p.373 / GA pp.~539 / pdf 198),faithful,"Heidegger 'emphasized the detailed analysis of boredom, in addition to the significance of the course for the concept of world' during GA editing sessions — external authorial confirmation."
Editor's Epilogue,bridges-to-pipeline,What Is Metaphysics? (1929),(p.373 / GA pp.~539 / pdf 198),faithful,"Inaugural Freiburg lecture (24 July 1929) 'dealt with the attunement of boredom for the first time'; Part One 'must be read in the context of this inaugural lecture'."
What Is Metaphysics? (1929),grounds-question,detailed analysis of boredom,(p.373 / GA pp.~539 / pdf 198),faithful,"The first treatment of the attunement of boredom is the seed of Part One's threefold analysis."
Glossary,defines,(tiefe) Langeweile,(p.375 / GA pp.~541 / pdf 199),faithful,"'(profound) boredom: (tiefe) Langeweile' — the canonical McNeill–Walker rendering of the spine attunement."
(tiefe) Langeweile,glosses-german,profound boredom,(p.375 / GA pp.~541 / pdf 199),faithful,"German↔English equivalence fixing the head-term of the entire boredom analysis."
Glossary,glosses-german,(Grund)stimmung,(p.375 / GA pp.~541 / pdf 199),faithful,"'(fundamental) attunement: (Grund)stimmung' — genus under which profound boredom is the privileged species."
Glossary,glosses-german,Benommenheit,(p.375 / GA pp.~541 / pdf 199),faithful,"'captivation/benumbment: Benommenheit' — fixes the animal (poor-in-world) mode-of-being vocabulary."
Glossary,glosses-german,Hingehaltenheit,(p.376 / GA pp.~542 / pdf 200),faithful,"'(being) held in limbo: Hingehaltenheit' — first structural moment of profound boredom."
Glossary,glosses-german,Leergelassenheit,(p.376 / GA pp.~542 / pdf 200),faithful,"'(being) left empty: Leergelassenheit' — paired being-left-empty moment of the boredom structure."
Glossary,glosses-german,Augenblick,(p.376 / GA pp.~542 / pdf 200),faithful,"'moment of vision: Augenblick' — the liberating temporal point disclosed within profound boredom."
Glossary,glosses-german,Schwermut,(p.376 / GA pp.~542 / pdf 200),faithful,"'(mood of) melancholy: Schwermut' — confirms the §44 melancholy-of-philosophizing word-family (Mut root)."
Glossary,glosses-german,weltarm,(p.376 / GA pp.~542 / pdf 200),faithful,"'poor in world: weltarm' / 'poverty in world: Weltarmut' — animal thesis of the world-comparison."
Editor's Epilogue,defines,Awakening a Fundamental Attunement in Our Philosophizing,(p.372 / GA pp.~538 / pdf 198),faithful,"One of only three Heidegger-authored titles — the Part One title naming the boredom-awakening project."
Editor's Epilogue,concedes,World Finitude Individuation,(p.370 / GA pp.~536 / pdf 197),faithful,"Brocker & Petzet report the noticeboard subtitle was 'Individuation,' not 'Solitude'; manuscript 'Solitude' retained."
Editor's Epilogue,qualifies,left-text right-insertions manuscript layout,(p.371 / GA pp.~537 / pdf 197),faithful,"94-folio manuscript: main text on the left-hand side, insertions/remarks on the right — the layout the 2-up cache split exploits."
Postscript to the Second Edition,contests,Editor's Epilogue,(p.374 / GA pp.~540 / pdf 199),faithful,"Marcuse & Siggemann transcripts surfaced, so the Epilogue's 'not even worked out in manuscript form' verdict on the SS 1929 course 'proved to be incorrect'."
Appendix,cites,Friedrich Nietzsche,(p.368 / GA pp.~534 / pdf 196),faithful,"Will to Power No. 466 ('victory of method over science') and the Zarathustra 'repays a teacher badly' saying frame the end-of-philosophy meditation."
Appendix,extends,end of philosophy is not the end of thinking,(p.368 / GA pp.~534 / pdf 196),faithful,"Under the rise of cybernetics philosophy may vanish, yet thinking continues — to 'open the time-play-space for poetising' toward a 'wording world'."
Eugen Fink,instances-in-text,Appendix,(p.367 / GA pp.~533 / pdf 195),faithful,"Dedicatee; Husserl student who 'entered another, and yet the same school of phenomenology'; his death (25 June 1975) prompted the volume dedication."
Glossary,marginal-note,Dasein/Befindlichkeit gap,(p.375 / GA pp.~541 / pdf 199),faithful,"OCR caveat: the legible glossary lacks headword entries for Dasein and Befindlichkeit; flagged rather than silently omitted."
Editor's Epilogue,interprets-experiment-finding,King-Salvo boredom-as-centerpiece warrant,(p.373 / GA pp.~539 / pdf 198),faithful,"Author-confirmed emphasis on boredom supplies the bridge a non-circular reason to treat the lab's boredom stimulus as the privileged attunement."
fcm-03,discloses,profound-boredom-as-grundstimmung,(74 / 110 / 49),faithful,§18c first names profound boredom as concealed Grundstimmung
fcm-04,deepens-into,fcm-05,(105-106 / pdf 64-65),faithful,first form deepens into second
fcm-05,deepens-into,fcm-06,(128 / 192 / 76),faithful,§28 second form more profound than first
fcm-06,grounds-question,fcm-08,(169 / 253 / 96),faithful,profound boredom releases the three metaphysical questions
fcm-08,grounds-question,q-world,(169 / 253 / 96),faithful,essence of time as common root
fcm-08,extends,fcm-09,(176 / 263 / 100),faithful,three questions pursued via the three world-theses
fcm-09,extends,fcm-13,(279 / 411 / 152),faithful,§67 returns world-question to profound boredom
leergelassenheit,temporalizes-as,gebanntheit,(145 / 219 / 84),faithful,§32a entrancement as temporal form of being-left-empty
hingehaltenheit,temporalizes-as,augenblick,(148 / 223 / 86),faithful,§32b moment of vision as temporal form of being-held-in-limbo
zeitvertreib,qualifies,boredom-form-1,(93 / 137 / 58),faithful,passing the time drives boredom off and drives time on
lassigkeit,defines,boredom-form-2,(116 / 174 / 70),faithful,casualness as self-forming emptiness
versagen,defines,boredom-form-3,(137 / 206 / 80),faithful,telling refusal of beings as a whole
captivation,defines,thesis-animal,(236 / 347 / 130),faithful,Benommenheit grounds poverty-in-world
as-structure,defines,thesis-man,(304 / 446 / 164),faithful,apophantic logos as the 'as'-structure
entwurf,deepens-into,thesis-man,(360 / 528 / 192),faithful,projection as primordial structure of world-formation
world-def,contests,thesis-animal,(199 / 295 / 111),faithful,§48 animal has and does not have world
boredom-form-1,interprets-experiment-finding,king-salvo-high-arousal-gaze-variance,(78-105 / pdf 51-64),anticipatory-application,Zeitvertreib operationalized as searching gaze (2024 N=12)
boredom-form-2,interprets-experiment-finding,king-salvo-clinical-EEG-boring-vs-gaze-engaged,(106-131 / pdf 65-77),anticipatory-application,KEYSTONE: surface/depth divergence (2023 EEG vs 2024 gaze)
boredom-form-3,interprets-experiment-finding,king-salvo-zombie-stare-low-variance,(132-159 / pdf 78-91),anticipatory-application,ceased Zeitvertreib as zombie stare (S1 S2)
hingehaltenheit,interprets-experiment-finding,king-salvo-time-dilation,(99 / 147 / 61),anticipatory-application,time dragging as felt 25-30 min for 17-min clip
langeweile,interprets-experiment-finding,king-salvo-time-dilation,(152 / 228 / 88),anticipatory-application,lengthening of the while as felt-duration ratio
boredom-form-2,bridges-to-pipeline,surface-depth-disagreement-index,(106-131 / pdf 65-77),anticipatory-application,redesign 7.1 instrument the divergence not the level
augenblick,bridges-to-pipeline,unmeasurable-negative-space,(148 / 223 / 86),anticipatory-application,redesign 7.5 measure its absence not a signal
presence-preference-split,interprets-experiment-finding,boredom-form-2,(phenomenological-digest),anticipatory-application,weak analog occupied surface hollow depth
